species,variable,life_stage,value_m,si
Chinook,Depth,Spawning,0,0
Chinook,Depth,Spawning,0.061,0
Chinook,Depth,Spawning,0.0914,0.2
Chinook,Depth,Spawning,0.1768,0.4
Chinook,Depth,Spawning,0.2438,0.8
Chinook,Depth,Spawning,0.2896,1
Chinook,Depth,Spawning,3.048,1
Chinook,Velocity,Spawning,0,0
Chinook,Velocity,Spawning,0.1524,0
Chinook,Velocity,Spawning,0.3048,1
Chinook,Velocity,Spawning,0.9144,1
Chinook,Velocity,Spawning,1.2192,0
Chinook,Velocity,Spawning,2.4384,0
Chinook,Depth,Juvenile,0,0
Chinook,Depth,Juvenile,0.061,0.02
Chinook,Depth,Juvenile,0.1219,0.07
Chinook,Depth,Juvenile,0.1829,0.16
Chinook,Depth,Juvenile,0.2438,0.26
Chinook,Depth,Juvenile,0.3048,0.37
Chinook,Depth,Juvenile,0.3658,0.48
Chinook,Depth,Juvenile,0.4267,0.59
Chinook,Depth,Juvenile,0.4877,0.68
Chinook,Depth,Juvenile,0.5486,0.76
Chinook,Depth,Juvenile,0.6096,1
Chinook,Depth,Juvenile,3.048,1
Chinook,Velocity,Juvenile,0,0.88
Chinook,Velocity,Juvenile,0.0305,0.95
Chinook,Velocity,Juvenile,0.061,0.99
Chinook,Velocity,Juvenile,0.0914,1
Chinook,Velocity,Juvenile,0.1219,0.99
Chinook,Velocity,Juvenile,0.1524,0.95
Chinook,Velocity,Juvenile,0.1829,0.89
Chinook,Velocity,Juvenile,0.2134,0.81
Chinook,Velocity,Juvenile,0.2438,0.72
Chinook,Velocity,Juvenile,0.3048,0.52
Chinook,Velocity,Juvenile,0.3353,0.43
Chinook,Velocity,Juvenile,0.3658,0.34
Chinook,Velocity,Juvenile,0.3962,0.26
Chinook,Velocity,Juvenile,0.4267,0.2
Chinook,Velocity,Juvenile,0.4572,0.15
Chinook,Velocity,Juvenile,0.4877,0.11
Chinook,Velocity,Juvenile,0.5182,0.07
Chinook,Velocity,Juvenile,0.5486,0.05
Chinook,Velocity,Juvenile,0.5791,0.03
Chinook,Velocity,Juvenile,0.6096,0.02
Chinook,Velocity,Juvenile,0.6401,0.01
Chinook,Velocity,Juvenile,0.6706,0.01
Chinook,Velocity,Juvenile,0.701,0
Chinook,Velocity,Juvenile,2.4384,0
Steelhead,Depth,Juvenile,0,0
Steelhead,Depth,Juvenile,0.0914,0.2
Steelhead,Depth,Juvenile,0.1829,0.65
Steelhead,Depth,Juvenile,0.3048,0.96
Steelhead,Depth,Juvenile,0.3658,1
Steelhead,Depth,Juvenile,3.048,1
Steelhead,Velocity,Juvenile,0,0
Steelhead,Velocity,Juvenile,0.061,0.15
Steelhead,Velocity,Juvenile,0.0914,0.9
Steelhead,Velocity,Juvenile,0.1524,0.97
Steelhead,Velocity,Juvenile,0.2134,1
Steelhead,Velocity,Juvenile,0.3658,1
Steelhead,Velocity,Juvenile,0.6096,0
Steelhead,Velocity,Juvenile,2.4384,0
